鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
內湖區,房地(土地+建物)+車位,成功路五段450巷21弄1~30號,38.51,都市：其他:第三種住宅區。,,,1100228,土地1建物1車位2,七層，八層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,208.95,4,2,2,有,有,39300000,188083,坡道平面,0.0,5000000,,RPTQMLKLMHGGFCA57EA,92.7,1.98,10.47,有,56.0,14
中山區,房地(土地+建物)+車位,民權東路一段1~30號,19.86,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100324,土地1建物1車位2,十四層,十六,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1040623,319.90999999999997,4,2,2,有,有,64000000,257927,坡道平面,95.04,6000000,,RPOQMLMKMHGGFCA17EA,120.59,5.26,21.01,有,,16
中山區,房地(土地+建物)+車位,北安路811~840號,6.33,都市：其他:第三種住宅區。,,,1100311,土地2建物1車位1,十三層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991224,86.93,1,1,1,有,有,15000000,266525,坡道平面,40.03,2500000,,RPOTMLRJMHGGFCA87EA,39.18,0.9,3.62,有,61.0,14
萬華區,房地(土地+建物),大理街1~30號,9.44,都市：其他:第三種商業區。,,,1100331,土地2建物1車位0,二層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041022,72.42,1,2,1,有,有,13500000,186413,,0.0,0,,RPQNMLLLMHGGFBA96EA,40.84,0.0,7.06,有,64.0,14
大安區,房地(土地+建物),仁愛路四段391~420號,17.5,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區)。,,,1100320,土地1建物1車位0,四層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.54999999999998,3,2,2,有,有,35520000,226892,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKLMHGGFFA67DA,119.67,0.0,19.47,有,,14
大安區,房地(土地+建物),復興南路一段61~90號,9.66,都市：其他:第三種住宅區。,,,1100129,土地3建物1車位0,九層,十六,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701230,126.31,3,2,2,有,有,29880000,236561,,0.0,0,,RPORMLKLMHGGFFA37DA,90.99,0.0,19.16,有,,16
士林區,房地(土地+建物)+車位,環河北路三段91~120號,9.12,都市：其他:第三種住宅區。,,,1100322,土地2建物2車位1,十層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930518,85.67,2,1,1,有,有,12300000,143574,坡道機械,19.55,0,其他增建；,RPWQMLTKMHGGFEA78DA,44.56,0.0,0.0,有,72.0,13
信義區,房地(土地+建物)+車位,松勤街1~30號,6.38,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100308,土地1建物1車位1,五層,十九,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,67.08,1,1,1,有,有,21500000,382833,坡道機械,17.45,2500000,陽台外推；,RPVUMLQKMHGGFDA68DA,29.69,0.5,2.95,有,80.0,19
信義區,房地(土地+建物),信義路五段91~120號,8.23,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100407,土地1建物1車位0,十二層,十九,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,50.62,1,1,1,有,有,14500000,286505,,0.0,0,陽台外推；,RPTOMLSJMHGGFDA97DA,29.02,1.28,4.32,有,,19
南港區,房地(土地+建物)+車位,向陽路258巷1~30號,26.46,都市：其他:住宅區(供住宅使用)。,,,1100123,土地1建物1車位1,五層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950803,136.27999999999997,2,2,1,有,有,23350000,171338,坡道平面,37.84,0,其他增建；,RPQUMLOJLHGGFDA77DA,61.97,3.24,6.0,有,,15
